block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8], [0, 1, 3, 15]];0;0;0;0
0;0;0;0;0;[[0, 0, 3, 15], [0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8], [0, 1, 3, 15]];0;0;0;0
0;0;0;0;0;[[0, 0, 3, 15], [0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8], [0, 1, 3, 15]];0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 2, 8]];0;0;0;0
0;0;0;0;0;[[0, 0, 6, 11]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;[[0, 1, 2, 14]];0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
0;0;[[0, 0, 10, 12]];0;0;0;0;0;0;0
