block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider
[[0, 0, 5, 12]];[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
[[0, 0, 5, 12]];[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;[[0, 1, 13, 4]];0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
0;[[0, 1, 9, 13]];0;0;0;0;0;0;0;0
